item,org,date,quantity
3959313,42023714,2020-10-01,4599.0
3959313,42023714,2020-11-01,3501.0
3959313,42023714,2020-12-01,4690.0
3959313,42023714,2021-01-01,2752.0
3959313,42023714,2021-02-01,4312.0
3959506,1617388,2014-03-01,37148.0
3959506,1617388,2014-04-01,17897.0
3959506,1617388,2014-05-01,48770.0
3959506,1617388,2014-06-01,36586.0
3959506,1617388,2014-07-01,48091.0
3959506,1617388,2014-08-01,30589.0
3959506,1617388,2014-09-01,53985.0
3959506,1617388,2014-10-01,43188.0
3959506,1617388,2014-11-01,80068.0
3959506,1617388,2014-12-01,92380.0
3959506,1617388,2015-01-01,15722.0
3959506,1617388,2015-02-01,54420.0
3959506,1617388,2015-03-01,18949.0
3959506,1617388,2015-04-01,75180.0
3959506,1617388,2015-05-01,43300.0
3959506,1617388,2015-06-01,34323.0
3959506,1617388,2015-07-01,91798.0
3959506,1617388,2015-08-01,23583.0
3959506,1617388,2015-09-01,34515.0
3959506,1617388,2015-10-01,55056.0
3959506,1617388,2015-11-01,112341.0
3959506,1617388,2015-12-01,77770.0
3959506,1617388,2016-01-01,16371.0
3959506,1617388,2016-02-01,31174.0
3959506,1617388,2016-03-01,42630.0
